code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000048,康达尔,饲料,深圳,221.83,38735.75,39076.87,213080.22,145547.16,35597.51,4269.85,0.11,0.015,1.34,10.12,19941101
000049,德赛电池,电气设备,深圳,40.08,20524.36,20524.36,342015.06,315783.25,15694.62,816.93,0.04,0.288,3.9,11.83,19950320
000050,深天马Ａ,元器件,深圳,33.71,57422.05,113173.84,1708896.38,669906.63,758224.44,696756.06,6.16,0.114,7.31,2.11,19950315
000055,方大集团,其他建材,深圳,113.99,42017.94,75690.99,365147.78,270498.84,48523.4,7909.92,0.1,0.02,1.65,5.65,19960415
000056,深国商,房产服务,深圳,214.14,14305.55,26508.14,787967.38,12012.32,5950.93,2430.87,0.09,0.021,7.2,2.52,19960708
000058,深 赛 格,元器件,深圳,103.58,53831.1,78479.89,254891.41,137721.92,4051.56,40472.71,0.52,0.027,1.68,6.7,19961226
000059,*ST华锦,石油加工,辽宁,0,120050.17,159944.25,2972747.5,1001344.31,1620202.88,639767.19,4,-0.093,5.27,1.58,19970130
000060,中金岭南,铅锌,深圳,104.35,206104,221262.8,1578571.5,549373.75,461975.81,147631.77,0.67,0.026,3.29,3.33,19970123
000061,农 产 品,农业综合,深圳,0,160587.73,169696.41,1433651.25,277609.38,300552.97,260958.8,1.54,-0.003,2.88,4.84,19970110
000062,深圳华强,商贸代理,深圳,117.46,66694.97,66694.97,399352.09,131850.02,38996.76,2.79,0,0.078,3.61,10.14,19970130
000063,中兴通讯,通信设备,深圳,17.48,280118.53,343754.13,11245933,8803911,721849.31,876845.19,2.55,0.24,9.61,1.87,19971118
000065,北方国际,建筑施工,深圳,87.06,25340.18,27437.17,503637.41,420055.5,13649.87,14408.55,0.53,0.08,3.87,7.16,19980605
000066,长城电脑,电脑设备,深圳,0,132357.02,132359.39,3783000.5,2862623,345083.16,62200.51,0.47,-0.065,1.89,11.4,19970626
000068,*ST华赛,元器件,深圳,0,89667.14,100667.14,65087.19,36799.34,20273.7,119660.11,1.19,-0.011,0.59,16.96,19970611
000069,华侨城Ａ,旅游景点,深圳,28.85,311246.41,727134.25,9418652,6442937,1559357.13,69972.8,0.1,0.071,3.94,2.08,19970910
000070,特发信息,通信设备,深圳,78.11,25858.08,27100,272474.16,178377.52,47550.23,60129.26,2.22,0.05,3.99,3.89,20000511
000078,海王生物,生物制药,深圳,88.91,73076.79,75251.38,1094488.25,921988.13,66439.36,143561.69,1.91,0.037,2,6.5,19981218
000088,盐 田 港,港口,深圳,67.77,194212.78,194220,710943.5,127999.01,16021.95,71086.15,0.37,0.038,2.68,3.89,19970728
000089,深圳机场,机场,深圳,36.02,205067.45,205076.95,1236742.75,222835.84,812404.44,90252.63,0.44,0.045,4.73,1.36,19980420
000090,天健集团,建筑施工,深圳,58.67,55253.07,55253.07,1119913.88,840444.5,18411.75,75115.02,1.36,0.085,7.07,2.84,19990721
000096,广聚能源,石油贸易,深圳,12.8,51084.8,52800,230718.8,134139.02,8552.3,35110.48,0.66,0.263,3.79,3.55,20000724
000099,中信海直,空运,深圳,49.84,60607.03,60607.03,445649.91,122940.57,262904.63,103327.21,1.7,0.059,4.5,2.62,20000731
000100,TCL 集团,家用电器,广东,21.97,897755.94,1220272.38,10793735,6346214.5,2022920.25,539995.69,0.44,0.07,1.93,2.82,20040130
000150,宜华健康,医疗保健,广东,1612.28,32400,44780.48,382046.94,307951.5,6012.25,98907.35,2.21,0.008,3.78,13.94,20000807
000151,中成股份,商贸代理,北京,60.88,26654.4,29598,293049.34,269853.31,3447.87,44202.65,1.49,0.081,3.44,5.71,20000906
000153,丰原药业,化学制药,安徽,105.68,29664.51,31214.11,225072.2,94913.9,60084.16,49104.12,1.57,0.019,3.58,2.26,20000920
000155,*ST川化,农药化肥,四川,0,47000,47000,130243.47,43072.78,48256.53,81028.56,1.72,-0.114,-1.86,-5.29,20000926
000156,华数传媒,影视音像,浙江,83.43,11832.76,143335.19,556255.25,128543.77,222563.59,69580.3,0.49,0.092,2.03,15.04,20000906
000157,中联重科,工程机械,湖南,0,626099.5,770595.38,9926318,7928029.5,745829.63,1315250.13,1.71,-0.05,5.24,1.24,20001012
000158,常山股份,纺织,河北,0,71886.1,115991.78,568133.44,285939.41,112117.97,111115.42,0.96,-0.035,3.38,4.25,20000724
000159,国际实业,石油贸易,新疆,0,48113.92,48113.92,316346.84,209800.7,23683.06,38998.7,0.81,-0.023,4.45,1.81,20000926
000166,申万宏源,证券,新疆,22.69,325468.03,1485674.5,27383868,0,128953.56,785364.44,0.53,0.19,2.77,5.66,20150126
000301,东方市场,综合类,江苏,41.61,121823.64,121823.64,409273.25,125294.38,25810.92,63657.83,0.52,0.03,2.59,1.93,20000529
000333,美的集团,家用电器,广东,11.95,226377.89,429012.25,13583093,10199252,1922554.63,1305839.38,3.04,0.779,10.19,3.66,19931112
000338,潍柴动力,汽车配件,山东,20.67,104608.49,199930.95,11435503,6132256,2118775.5,24008.78,0.12,0.3,15.8,1.57,20070430
000400,许继电气,电气设备,河南,497.29,73749.88,100832.72,1044430.38,915536.88,100451.75,82885.31,0.82,0.01,5.63,3.7,19970418
000401,冀东水泥,水泥,河北,0,134708.59,134752.3,4422255,1093708.5,2499282,512354,3.8,-0.445,8.31,1.23,19960614
000402,金 融 街,全国地产,北京,9.81,298598.38,298893,8921995,6795987,284962.25,710336,2.38,0.267,8.37,1.25,19960626
000403,ST生化,生物制药,江西,96.61,18176.3,27257.75,123728.51,37833.68,61117.41,11393.05,0.42,0.051,1.6,12.22,19960628
000404,华意压缩,专用机械,江西,26.64,49472.16,55962.39,700037.13,523736.81,116732.72,110347.86,1.97,0.069,3.74,1.96,19960619
000407,胜利股份,塑料,山东,142.96,64490.39,77404.88,427198.69,202561.09,41252.06,49578.03,0.64,0.01,2.29,2.62,19960703
000408,金谷源,商贸代理,河北,1326.28,25230.06,25230.15,48167.6,39143.92,1943.46,14367.72,0.57,0.002,0.54,21.55,19960628
000409,山东地矿,普钢,山东,0,29814.9,47270.92,327186,38494.55,67192.68,46365.14,0.98,-0.055,2.13,4.59,19960627
